order_id,date,region,product,category,units,unit_price,customer_segment,sales_rep
3001,2024-01-01,Southeast Asia,Seoul Pulse,HealthTech,13,799.99,Government,Arun Patel
3002,2024-01-18,East Asia,Tokyo Grid,Fintech,47,349.99,Government,Yuki Tanaka
3003,2024-01-27,Southeast Asia,Singapore Hub,E-commerce,12,799.99,Corporate,Yuki Tanaka
3004,2024-01-10,Southeast Asia,Tokyo Grid,HealthTech,16,349.99,Government,Yuki Tanaka
3005,2024-01-12,Central Asia,Singapore Hub,EdTech,18,349.99,Corporate,Arun Patel
3006,2024-01-01,South Asia,Mumbai Wave,Logistics,45,349.99,SME,Min-Jae Park
3007,2024-01-26,East Asia,Bangkok Flow,Fintech,33,349.99,Corporate,Arun Patel
3008,2024-01-12,Southeast Asia,Seoul Pulse,EdTech,4,349.99,SME,Priya Sharma
3009,2024-01-09,East Asia,Mumbai Wave,HealthTech,44,1599.99,SME,Priya Sharma
3010,2024-01-01,East Asia,Mumbai Wave,EdTech,40,549.99,Corporate,Yuki Tanaka
3011,2024-01-20,Central Asia,Mumbai Wave,HealthTech,30,1599.99,Government,Yuki Tanaka
3012,2024-01-13,South Asia,Mumbai Wave,Fintech,48,799.99,Corporate,Min-Jae Park
3013,2024-01-12,Central Asia,Tokyo Grid,HealthTech,42,549.99,Government,Yuki Tanaka
3014,2024-01-24,Southeast Asia,Singapore Hub,HealthTech,45,799.99,SME,Arun Patel
3015,2024-01-23,Southeast Asia,Singapore Hub,EdTech,15,799.99,Government,Arun Patel
3016,2024-02-22,South Asia,Singapore Hub,E-commerce,22,799.99,Government,Yuki Tanaka
3017,2024-02-10,Southeast Asia,Seoul Pulse,Logistics,40,1599.99,Government,Priya Sharma
3018,2024-02-15,Central Asia,Bangkok Flow,EdTech,35,799.99,Government,Min-Jae Park
3019,2024-02-22,East Asia,Mumbai Wave,E-commerce,45,1599.99,SME,Yuki Tanaka
3020,2024-02-27,South Asia,Mumbai Wave,EdTech,15,349.99,Corporate,Yuki Tanaka
3021,2024-02-08,Central Asia,Singapore Hub,Fintech,32,799.99,Government,Min-Jae Park
3022,2024-02-23,Central Asia,Bangkok Flow,Logistics,18,349.99,Government,Yuki Tanaka
3023,2024-02-25,East Asia,Bangkok Flow,EdTech,14,1599.99,SME,Yuki Tanaka
3024,2024-02-18,South Asia,Tokyo Grid,Logistics,11,799.99,Government,Priya Sharma
3025,2024-02-25,Central Asia,Singapore Hub,E-commerce,30,1599.99,SME,Min-Jae Park
3026,2024-02-24,Central Asia,Bangkok Flow,HealthTech,18,549.99,Government,Arun Patel
3027,2024-02-21,South Asia,Mumbai Wave,Logistics,7,549.99,Corporate,Priya Sharma
3028,2024-02-11,Southeast Asia,Singapore Hub,Fintech,11,349.99,Corporate,Arun Patel
3029,2024-02-23,South Asia,Seoul Pulse,Fintech,29,799.99,SME,Arun Patel
3030,2024-02-14,East Asia,Seoul Pulse,Logistics,27,1599.99,Government,Yuki Tanaka
3031,2024-03-28,Central Asia,Bangkok Flow,Fintech,25,549.99,SME,Arun Patel
3032,2024-03-18,South Asia,Bangkok Flow,EdTech,20,799.99,SME,Yuki Tanaka
3033,2024-03-13,Southeast Asia,Bangkok Flow,EdTech,32,349.99,Government,Yuki Tanaka
3034,2024-03-13,East Asia,Tokyo Grid,Logistics,11,799.99,Corporate,Yuki Tanaka
3035,2024-03-09,Central Asia,Mumbai Wave,EdTech,32,549.99,SME,Arun Patel
3036,2024-03-09,Central Asia,Mumbai Wave,Fintech,33,149.99,Government,Yuki Tanaka
3037,2024-03-12,South Asia,Tokyo Grid,Fintech,4,349.99,Corporate,Yuki Tanaka
3038,2024-03-20,South Asia,Seoul Pulse,EdTech,33,149.99,Government,Min-Jae Park
3039,2024-03-15,Southeast Asia,Mumbai Wave,EdTech,41,1599.99,Government,Yuki Tanaka
3040,2024-03-25,South Asia,Mumbai Wave,Fintech,40,149.99,SME,Arun Patel
3041,2024-03-13,South Asia,Tokyo Grid,E-commerce,47,349.99,Corporate,Priya Sharma
3042,2024-03-28,East Asia,Singapore Hub,Fintech,25,1599.99,SME,Priya Sharma
3043,2024-03-03,Southeast Asia,Tokyo Grid,Logistics,34,149.99,SME,Priya Sharma
3044,2024-03-21,Central Asia,Seoul Pulse,Logistics,14,1599.99,Government,Priya Sharma
3045,2024-03-20,Central Asia,Bangkok Flow,Logistics,49,1599.99,SME,Priya Sharma
